,Bacteroides_fragilis,Bacteroides_uniformis|t__SGB1836_group,Faecalibacterium_prausnitzii,Prevotella_copri_clade_A|t__SGB1626,_Cutibacterium_acnes|t__SGB16955,_Phocaeicola_plebeius|t__SGB1903_group,_Phocaeicola_vulgatus|t__SGB1814,putredinis|t__SGB2318,stercoris|t__SGB1830_group,unclassified|g__Phocaeicola,uniformis|t__SGB1836_group
114,0.0,2.00997,3.50458,0.33657,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,0.0,0.7217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,0.19036,2.76112,4.85501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,0.01831,12.93786,7.15817,25.78387,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,0.00142,7.30184,2.67698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,0.30241,0.31574,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,0.08122,0.00076,3.93278,0.00429,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,6.05508,15.23865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,0.29406,0.73238,2.29811,0.01676,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,0.0,0.0,0.0,0.0,0.0,0.0,0.11435,0.0,0.0,0.13981,0.08816
125,0.0,0.0,0.77099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,0.26932,4.37719,1.50839,0.0066,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,0.0,0.60525,0.69599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,0.0,0.0,0.0,0.0,0.0,16.38875,2.56433,7.18344,1.64036,20.17052,10.83384
129,0.0,7.55254,4.01073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,0.0,0.0,0.0,0.0,0.0,0.0,3.33278,1.68984,0.0,4.13407,7.6055
131,0.0,0.0,1.30621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,0.80229,1.88518,2.17471,6.96154,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,0.0,0.0,2.19702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,0.0,0.0,0.0,0.0,0.09753,0.0,0.20472,0.0,0.0,0.20472,0.0
135,0.020979842100158824,2.242720431948852,3.8637302956127244,0.008286937764644174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,0.07458787482566914,0.7090093477561239,3.22065621555227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,0.26111904285039855,3.8571037821665066,12.00002137907596,0.4797502308602324,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,0.014337136752997205,0.15314109001227955,3.345890557245053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,0.1251824399948587,7.505752899542423,2.5090978166353186,0.0012108990485334911,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,0.0,0.8252638312366272,8.773409298368847,1.4645966753974722,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,0.046333171675723483,3.956152226174658,2.853372597224852,0.006315516411431213,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,0.005298965787300548,0.5671694720685485,13.049515814917502,1.7248340373210727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,47.56553560390297,0.1596031619362812,1.065871351215105,0.05833604329931891,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,0.06425868804802783,2.076137468132289,6.234535271172097,0.009729965574016581,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,0.08208577854476552,2.3362381493756557,5.688629325986957,0.012967994787325302,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,0.009370911857499265,0.08062542078868908,1.966623102621516,34.68355371101454,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,0.560672495268485,5.908986268561058,5.237245044374392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
