,Bacteroides_cellulosilyticus|t__SGB1844,Bacteroides_fragilis,Bacteroides_stercoris,Bacteroides_uniformis,Blautia_wexlerae|t__SGB4837_group,Escherichia_coli|t__SGB10068,Eubacterium_siraeum|t__SGB4198_group,Faecalibacterium_prausnitzii,Phocaeicola_coprocola|t__SGB1891_group,Phocaeicola_plebeius,Prevotella_copri_clade_A,Ruminococcus_torques,parainfluenzae,putredinis,unclassified
58,0.08461,0.0,0.0,0.82575,2.47174,0.03835,1.33348,4.66314,0.0,0.00052,0.0,0.93117,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00159,2.76514,9.93889
60,0.0,0.01115,0.04014,0.1513,1.36298,0.0184,0.02165,17.9645,0.31231,0.10532,1.64897,0.70944,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5804,4.81113
62,0.0,0.0,0.91403,0.48232,0.03796,0.0,0.00693,0.34133,0.0,0.0,43.03393,0.07562,0.0,0.0,0.0
63,0.33263,0.03604,3.82134,0.97425,0.05363,0.0,0.2841,0.74972,0.0,0.0,1.45662,0.59518,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64975,3.11071
65,0.00806,0.0,2.76603,0.74788,0.07734,0.11435,0.0,0.0183,17.22455,0.0,35.1173,0.2545,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.82907,0.0,0.8504400000000001
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.31076,4.269
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.32203,0.0,0.6664
69,0.0,0.55329,0.0,7.15354,2.29527,0.00304,0.0,4.42508,0.0,0.0,0.0,0.0,0.0,0.0,0.0
