,Bacteroides_xylanisolvens,Bilophila_wadsworthia|t__SGB15452,Blautia_faecis,Clostridia_unclassified_SGB4121|t__SGB4121,Clostridium_fessum,Dorea_formicigenerans|t__SGB4575,Enterocloster_aldensis,Faecalibacterium_prausnitzii,Faecalibacterium_prausnitzii|t__SGB15316_group,Faecalibacterium_prausnitzii|t__SGB15342,GGB29535_SGB42321,Lachnospira_pectinoschiza,Lachnospiraceae_bacterium,Lachnospiraceae_bacterium|t__SGB4750,Phascolarctobacterium_faecium,Ruminococcus_torques,unclassified
14,0.21493,0.60436,0.0,0.0,0.0,0.01251,0.22801,0.108,0.0,0.0,0.0,0.0,0.06613,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.727899999999998
16,1.32723,0.0,0.0258,0.0,0.15422,0.03338,0.03255,3.10312,1.02045,0.66194,0.0,0.0,1.35333,0.0,0.04577,0.67115,0.0
17,0.08705,0.33708,0.57963,0.12135,0.08771,0.7314,0.0,4.60374,0.37579,0.36125,0.00365,0.0,0.72334,0.02615,0.0,0.79131,0.0
18,0.60446,0.0,0.19105,0.0127,0.28509,0.00943,0.03822,10.15202,3.6661,0.0,0.0,0.0,1.05578,0.00365,1.66731,0.01416,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.56488
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38627
21,0.13414,0.16455,0.02909,0.04672,0.31274,0.04763,0.00536,2.41306,1.16519,0.67017,0.0,5.20614,1.37637,0.02856,1.4779,0.38797,0.0
22,0.00707,0.82167,0.05688,0.0009,0.56069,0.07283,0.0,16.67877,2.32764,0.53843,0.0,0.02173,0.27359,0.06433,0.0,0.34515,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.14481
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.42147
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.07937
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.84754
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.68401
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03376
29,0.0,0.0,0.67434,0.10028,0.0,0.20034,0.0,3.35273,0.15548,0.0,0.0,0.05525,1.25998,0.25496,0.0,1.28076,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.54953
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.99891
