,Bilophila_wadsworthia|t__SGB15452,Clostridia_unclassified_SGB4121,Clostridium_fessum|t__SGB4705,Dorea_formicigenerans|t__SGB4575,Dysosmobacter_welbionis,Faecalibacterium_SGB15346,Faecalibacterium_prausnitzii,Faecalibacterium_prausnitzii|t__SGB15316_group,Faecalibacterium_prausnitzii|t__SGB15318_group,Faecalibacterium_prausnitzii|t__SGB15342,Harryflintia_acetispora,Lachnospiraceae_bacterium,Lachnospiraceae_bacterium_WCA3_601_WT_6H,Lachnospiraceae_bacterium|t__SGB4750,Mediterraneibacter_sp_gm002,Ruminococcus_torques,unclassified
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.42147
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.07937
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.84754
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.68401
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03376
29,0.0,0.10028,0.0,0.20034,0.05231,0.0,3.35273,0.15548,3.19725,0.0,0.0,1.25998,0.0,0.25496,0.0,1.28076,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.54953
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.99891
33,0.25591,0.10066,0.36234,0.24689,0.01745,0.0,7.20509,1.56807,2.8634,1.63147,0.0,1.42142,0.0058,0.01694,0.0,0.69588,0.0
34,0.0,0.16614,0.11809,0.11317,0.10286,0.46509,8.77324,0.43792,2.36971,1.6561,0.0,1.31115,0.01694,0.0,0.0,0.0761,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.39616
36,0.06043,0.0,0.10965,0.09383,0.00867,1.33747,7.87493,4.90156,0.77304,0.63925,0.0,2.60478,0.16002,0.0673,0.0464,0.21744,0.0
37,0.44238,0.0,0.37634,0.01263,0.04967,0.27843,5.0332,1.13409,0.23484,0.70576,0.0,0.42225,0.02323,0.01242,0.00078,0.28237,0.0
38,0.0,0.03357,0.07083,0.02431,0.02403,0.06694,0.54965,0.1114,0.0,0.15037,0.0,0.46396,0.0,0.0175,0.0,1.0226,0.0
39,0.22432,0.14599,0.37994,0.11354,0.09315,0.24876,2.24227,0.0663,1.25809,0.45468,0.0,0.53972,0.96153,0.00461,0.01319,0.32481,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4901
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.02168,0.0,0.16753,0.01617,0.02882,1.27258,3.93705,1.5875,0.42552,0.74712,0.0,1.77979,4.84808,0.00671,0.0,0.14363,0.0
