,Agathobaculum_butyriciproducens,Bacteroides_ovatus,Bacteroides_thetaiotaomicron,Bacteroides_xylanisolvens|t__SGB1867,Bifidobacterium_longum|t__SGB17248,Blautia_faecis,Blautia_wexlerae|t__SGB4837_group,Clostridium_fessum,Enterocloster_bolteae|t__SGB4758_group,Enterocloster_citroniae|t__SGB4761,Escherichia_coli|t__SGB10068,Faecalibacterium_prausnitzii|t__SGB15316_group,Flavonifractor_plautii|t__SGB15132,Fusicatenibacter_saccharivorans|t__SGB4874,Parabacteroides_distasonis,Parabacteroides_merdae|t__SGB1949,Phocaeicola_vulgatus|t__SGB1814,Streptococcus_salivarius|t__SGB8007_group
62,0.0,0.52941,0.00489,0.08472,0.0018,0.0,0.03796,0.00108,0.0,0.0,0.0,0.04895,0.0,0.00449,0.09152,3.10638,25.69003,0.0
63,0.00708,2.91371,0.66175,0.20619,0.00849,0.02905,0.05363,0.00153,0.0,0.0,0.0,0.01481,0.00705,0.00413,1.15538,4.36537,6.19512,0.0
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.0,0.18619,0.06196,0.71512,0.00778,0.01857,0.07734,0.10208,0.0202,0.00896,0.11435,0.01063,0.23052,0.01657,0.59952,0.76251,7.91908,0.0
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,0.0,2.83997,0.0,1.92465,2.41024,0.42313,2.29527,0.28456,0.01786,0.01393,0.00304,1.09193,0.07909,1.75582,0.38162,0.0,0.0,0.0569
70,0.44104,0.32078,1.23904,0.4163,0.0,0.33585,2.37095,0.45206,0.04914,0.0025,0.17374,1.03782,0.22029,0.54174,0.35464,0.30558,2.96723,4.7756
71,0.01935,0.16753,0.07179,0.11512,0.02724,0.00678,0.17272,0.26088,0.00246,0.01307,0.00718,0.95794,0.04292,0.08268,0.14502,0.99257,11.61734,0.0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.21723,2.47135,1.81018,1.40288,0.0,0.22139,0.52004,1.20738,0.06042,0.08661,0.00967,2.0963,0.23693,1.02078,1.98145,1.52621,6.47054,0.17038
74,0.00164,0.00491,0.00362,0.0,0.73277,0.03518,0.07705,0.0,0.00312,0.00139,0.04437,0.18498,0.0,0.2988,0.0,0.0,0.30982,0.01256
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
