,Bacteroides_caccae|t__SGB1877,Bacteroides_cellulosilyticus|t__SGB1844,Bacteroides_fragilis,Bacteroides_stercoris,Bacteroides_uniformis,Blautia_wexlerae|t__SGB4837_group,Eubacterium_siraeum|t__SGB4198_group,Faecalibacterium_prausnitzii,Phocaeicola_coprocola|t__SGB1891_group,Ruminococcus_torques,parainfluenzae|t__SGB9712_group,putredinis|t__SGB2318,unclassified
56,0.35163,0.0,0.0,3.27668,2.88099,0.17272,0.50445,6.27424,1.72067,0.10703,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.32191
58,1.58283,7.40556,0.79902,0.01583,14.4827,0.52004,0.0,2.97071,0.0,0.03721,0.0,0.0,0.0
59,0.0,0.0,0.01089,0.00705,0.00021,0.07705,0.0,1.74231,0.06802,0.6929,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.83481,0.0,10.0417
61,2.20135,0.00875,0.0,6.93148,5.46393,1.10442,0.0,6.74958,0.0,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.65015,0.34504,26.88272
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.06524,20.59209
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11149,0.0,65.54681
65,2.41857,4.02268,0.27659,12.59911,1.36,0.09191,0.10556,2.25633,0.0,0.20878,0.0,0.0,0.0
66,0.51021,0.0,0.20016,0.0,4.56686,0.50398,0.0,12.11138,0.0,0.97917,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.26504,0.11345,4.56118
68,0.13892,1.2058,0.0,0.0,1.97496,0.53609,0.59157,3.94999,0.0,0.43056,0.0,0.0,0.0
69,3.62311,0.0,0.69907,7.67505,2.46503,0.63554,0.0,3.0529,0.0,0.90843,0.0,0.0,0.0
70,2.78887,0.74832,0.01119,0.0025,9.50842,0.24105,0.0,0.3013,4.2537,1.64489,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01118,0.0,6.15344
