,Bilophila_wadsworthia|t__SGB15452,Clostridia_unclassified_SGB4121,Clostridiales_bacterium|t__SGB15158,Clostridium_fessum|t__SGB4705,Dorea_formicigenerans|t__SGB4575,Dorea_longicatena,Faecalibacterium_prausnitzii,Faecalibacterium_prausnitzii|t__SGB15316_group,Faecalibacterium_prausnitzii|t__SGB15318_group,Faecalibacterium_prausnitzii|t__SGB15342,Lachnospiraceae_bacterium,Lachnospiraceae_bacterium_WCA3_601_WT_6H,Leuconostoc_pseudomesenteroides,Parabacteroides_distasonis|t__SGB1934,Phocaeicola_coprocola,unclassified
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8504400000000001
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.269
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6664
54,0.08539,0.21373,0.0,0.28456,0.1843,1.76162,4.42508,1.09193,0.40383,0.0,2.13152,0.0,0.0,0.38162,0.0,0.0
55,0.29833,0.05403,0.00952,0.45206,0.45399,1.4196,2.51176,1.03782,1.11997,0.19612,1.14048,1.04718,0.0,0.35464,0.0,0.0
56,0.37826,0.01663,0.16636,0.26088,0.02264,0.02668,6.27424,0.95794,0.33512,1.11162,0.17227,0.03882,0.0,0.14502,1.72067,0.0
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.32191
58,0.00454,0.0,0.6028,1.20738,0.03541,0.10082,2.97071,2.0963,0.0,0.87421,0.82604,0.0,0.0,1.98145,0.0,0.0
59,0.01539,0.14612,0.0,0.0,0.01694,0.12612,1.74231,0.18498,0.0,0.00076,0.45735,0.0,0.0,0.0,0.06802,0.0
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0417
61,0.64761,0.00094,0.0,0.42007,0.0,0.0,6.74958,6.74958,0.0,0.0,0.02571,0.0,0.0,1.7533,0.0,0.0
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.88272
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.59209
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.54681
65,0.24889,0.00728,0.0,0.33462,0.11285,0.05981,2.25633,0.85726,0.34005,0.0272,0.73102,1.12721,0.0,2.00509,0.0,0.0
66,0.23355,0.0256,0.0,0.17247,0.23886,0.94999,12.11138,3.95928,3.67883,1.24794,1.9487,0.09959,0.0,0.38427,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.56118
68,0.18733,0.0527,0.0,0.12412,0.15351,0.25618,3.94999,1.52717,0.93515,0.3764,2.62971,0.0,0.0,0.7162,0.0,0.0
69,0.39278,0.05177,0.51591,0.0,0.34612,2.33467,3.0529,0.59056,1.99265,0.0,0.15718,0.0,0.0,0.25591,0.0,0.0
70,0.23629,0.40794,0.0,0.15102,0.08558,0.11182,0.3013,0.09818,0.0608,0.0,0.17232,0.05462,0.0,1.10591,4.2537,0.0
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.15344
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7790800000000004
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.34345
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.70658
77,0.0,0.05715,0.0,0.11067,0.09564,0.53424,0.31913,0.05128,0.0,0.06492,1.31337,0.02165,0.0,0.0,0.0,0.0
78,0.0,0.09722,0.00465,0.15445,0.87191,1.42656,0.37516,0.14108,0.14257,0.07173,0.92811,0.76875,0.01095,0.22411,0.0,0.0
79,0.11325,0.04718,0.0,1.27755,0.53283,1.42355,9.55316,5.34576,1.97411,0.87362,1.21745,0.00973,0.0,0.00341,0.0,0.0
80,0.0,0.0062,0.0,0.0,0.00395,0.00487,0.03503,0.03503,0.0,0.0,0.00546,0.0,0.0,0.04955,0.0,0.0
81,0.01235,0.04774,0.00889,0.40147,0.03188,0.09429,8.59574,0.00154,0.0,2.81191,0.17246,0.02084,0.0,0.31815,0.00038,0.0
82,0.0,1.09267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.77347
84,0.87324,0.0,0.0,0.09428,0.04063,0.15788,1.22448,0.24419,0.07361,0.20079,0.27687,0.73874,0.0,1.42179,1.58204,0.0
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.53974
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,0.0,0.03368,0.0,1.63027,0.0,0.0,1.79423,1.79423,0.0,0.0,0.38026,0.0,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.93773
89,0.14111,0.08885,0.0,3.2517,0.1535,1.31242,0.0615,0.00125,0.03225,0.0,0.25662,0.01566,0.0,0.39421,0.0,0.0
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05954
91,0.0028,0.30869,0.0,0.03271,0.40137,1.68652,0.37516,0.00882,0.02852,0.07317,0.5534,0.1399,0.0,0.25912,0.0,0.0
92,0.0204,0.03163,0.0,0.50119,0.52231,2.64806,3.32052,0.52753,2.47243,0.32056,1.22242,0.02345,0.0,0.35457,0.0,0.0
93,0.00575,0.03229,0.05894,0.42853,0.69725,1.51083,3.85883,0.04086,1.65433,0.10678,1.4425,0.02279,0.0,0.40805,0.0,0.0
94,0.0,0.0,0.0,0.19954,0.68195,1.71387,0.61173,0.0,0.0,0.57732,1.4982,0.0,0.00327,0.00137,0.0,0.0
95,0.10001,0.804,0.0,0.0,0.0,0.85682,0.0,0.0,0.0,0.0,0.19813,0.0,0.0,2.73614,0.0,0.0
96,0.0,0.02683,0.0,0.09166,0.04642,0.26333,2.36009,0.27314,0.0,0.28007,0.52196,0.0,0.0,0.0,0.0,0.0
97,0.19142,0.03386,0.0,0.43596,0.0,0.08536,4.92379,2.8851,0.50643,0.80019,0.41444,0.37434,0.0,1.13128,0.0,0.0
98,0.00395,0.0,0.00327,0.01298,0.01171,0.0,1.64065,0.11767,0.0267,0.0,0.04241,0.0,0.0,1.40063,0.0,0.0
99,0.24652,0.00438,0.0,0.03842,0.00587,0.05966,3.50458,0.03356,0.11246,1.79418,0.53759,0.10193,0.0,0.04197,0.0,0.0
100,0.0,0.01696,0.0,0.0,0.40306,1.18476,0.0,0.0,0.0,0.0,1.72233,0.0,0.0,0.58688,0.0,0.0
101,0.0,0.06426,0.0,0.0,0.74038,0.0,4.85501,3.32677,0.0,1.52825,0.27816,0.0,0.0,0.20776,0.0,0.0
102,0.14763,0.00815,0.0,0.28903,0.01928,0.01396,7.15817,0.16729,2.32542,4.21133,0.04001,0.5924,0.0,0.54266,0.0,0.0
103,0.0,0.0,0.0,0.0,0.02332,0.00585,2.67698,0.04543,0.21713,1.06009,0.15175,0.0,0.0,0.36444,0.0,0.0
104,0.05957,0.0179,0.87118,0.0,0.0,2.28476,0.0017,0.0017,0.0,0.0,0.76322,0.02731,0.0,0.0,0.0,0.0
