,Agathobaculum_butyriciproducens,Anaerostipes_hadrus,Bacteroides_caccae,Bacteroides_thetaiotaomicron|t__SGB1861,Bacteroides_uniformis|t__SGB1836_group,Bacteroides_xylanisolvens,Blautia_wexlerae,Clostridiaceae_bacterium,Clostridium_sp_AF34_10BH|t__SGB4914,Eggerthella_lenta,Enterocloster_bolteae|t__SGB4758_group,Enterocloster_citroniae,Escherichia_coli|t__SGB10068,Faecalibacterium_prausnitzii|t__SGB15316_group,Flavonifractor_plautii|t__SGB15132,Lachnospiraceae_bacterium,Parabacteroides_distasonis|t__SGB1934
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.30466,0.47962,1.20509,0.56124,2.89348,0.33744,5.44905,0.9559,0.30055,0.00116,0.00267,0.00138,0.02003,1.56807,0.0,1.42142,0.0
19,0.31196,3.47079,0.01317,0.13912,8.91354,0.07515,1.03106,0.12861,0.19967,0.0,0.0,0.0,0.29127,0.43792,0.0,1.31115,0.69641
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.02744,0.19273,0.40095,0.0187,1.29456,0.98007,0.27879,0.15127,3.33532,0.00093,0.0,0.0,4.754,4.90156,0.00609,2.60478,0.29664
22,0.00764,0.00171,0.57974,0.72351,4.13492,0.21125,0.094,0.02962,1.92352,0.0,0.00028,0.00471,0.20813,1.13409,0.04849,0.42225,0.64103
23,0.00856,1.62055,0.0,0.0,0.0,0.0,1.7366,0.17201,1.96378,0.0,0.0,0.0,0.0,0.1114,0.0,0.46396,0.0
24,0.15219,0.08625,0.01204,0.28356,3.97828,0.13179,0.49345,0.06519,0.60232,0.02335,0.00592,0.0,0.2982,0.0663,0.1731,0.53972,0.17309
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.01834,0.12062,0.15632,0.41625,2.11838,0.28496,0.14786,0.41567,0.78402,0.0,0.0,0.0,0.10925,1.5875,0.0073,1.77979,0.25395
28,0.0239,0.01502,0.63402,0.08992,0.33096,0.05043,0.03217,0.0771,0.04758,0.00203,0.0,0.00276,0.33041,6.73782,0.00707,0.20864,0.9428
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
