,Bilophila_wadsworthia|t__SGB15452,Clostridia_unclassified_SGB4121,Clostridium_fessum|t__SGB4705,Coprococcus_catus,Dorea_formicigenerans,Dorea_longicatena,Dysosmobacter_welbionis,Faecalibacterium_prausnitzii,Faecalibacterium_prausnitzii|t__SGB15342,GGB9581_SGB14999|t__SGB14999,Lachnospiraceae_bacterium,Parabacteroides_distasonis|t__SGB1934,Phascolarctobacterium_faecium,Phocaeicola_coprocola,Ruminococcus_torques,unclassified
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6315700000000002
36,0.18894,0.01226,0.01825,0.04313,0.04556,0.10327,0.02151,4.61844,0.49067,0.0,0.44312,0.46521,0.0,13.22454,0.76816,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.78468
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2668
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.31134
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63149
42,0.0,0.02289,0.05696,0.00417,0.02413,0.20131,0.00197,2.34709,0.41702,0.0,1.27474,0.0,0.50459,0.0,0.20837,0.0
43,0.17746,0.0,0.24282,0.14642,0.13425,0.71224,0.00178,4.66314,0.65397,0.0,2.25976,0.03605,0.44236,0.0,0.93117,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.93889
45,0.02372,0.0,0.0717,0.0,0.24729,1.82035,0.01725,17.9645,1.06912,0.0,0.81085,0.09767,0.0,0.31231,0.70944,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.81113
47,0.00016,0.0,0.00108,0.0,0.0221,0.01754,0.04978,0.34133,0.04589,0.0,0.01895,0.09152,0.0,0.0,0.07562,0.0
48,0.0,0.00335,0.00153,0.02307,0.09661,0.04822,0.13655,0.74972,0.02221,0.00291,0.2651,1.15538,1.01207,0.0,0.59518,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.11071
50,0.07858,0.00598,0.10208,0.00603,0.02099,0.06913,0.30088,0.0183,0.00517,0.0,0.14318,0.59952,0.55538,17.22455,0.2545,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8504400000000001
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.269
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6664
54,0.08539,0.21373,0.28456,0.0,0.1843,1.76162,0.55971,4.42508,0.0,0.07902,2.13152,0.38162,0.0,0.0,0.0,0.0
