,Bacteroides_gallinarum,Bilophila_wadsworthia|t__SGB15452,Clostridia_unclassified_SGB4121,Clostridiales_bacterium|t__SGB15158,Clostridium_fessum|t__SGB4705,Dorea_formicigenerans|t__SGB4575,Faecalibacterium_prausnitzii,Faecalibacterium_prausnitzii|t__SGB15316_group,Faecalibacterium_prausnitzii|t__SGB15318_group,Faecalibacterium_prausnitzii|t__SGB15342,Lachnospiraceae_bacterium,Massilioclostridium_coli,Parabacteroides_distasonis|t__SGB1934,Romboutsia_timonensis,Ruminococcaceae_bacterium|t__SGB4181,unclassified
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.73194
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.09094
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.52071
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.39981
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.9735
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6315700000000002
21,0.0,0.18894,0.01226,0.00045,0.01825,0.04556,4.61844,0.64509,2.30337,0.49067,0.44312,0.0,0.46521,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.78468
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2668
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.31134
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63149
27,0.0,0.0,0.02289,0.0,0.05696,0.02413,2.34709,0.05052,0.0,0.41702,1.27474,0.0,0.0,0.0,0.0,0.0
28,0.0,0.17746,0.0,0.0,0.24282,0.13425,4.66314,1.07179,0.43743,0.65397,2.25976,0.00438,0.03605,0.0066,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.93889
30,0.0,0.02372,0.0,0.0,0.0717,0.24729,17.9645,0.19301,6.29852,1.06912,0.81085,0.0,0.09767,0.00232,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.81113
32,0.0,0.00016,0.0,0.0,0.00108,0.0221,0.34133,0.04895,0.10379,0.04589,0.01895,0.0,0.09152,0.0,0.0,0.0
33,0.0,0.0,0.00335,0.0,0.00153,0.09661,0.74972,0.01481,0.15843,0.02221,0.2651,0.0,1.15538,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.11071
35,0.00112,0.07858,0.00598,0.0,0.10208,0.02099,0.0183,0.01063,0.0,0.00517,0.14318,0.0,0.59952,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8504400000000001
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.269
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6664
39,0.0,0.08539,0.21373,0.0,0.28456,0.1843,4.42508,1.09193,0.40383,0.0,2.13152,0.0,0.38162,0.10224,0.0,0.0
40,0.0,0.29833,0.05403,0.00952,0.45206,0.45399,2.51176,1.03782,1.11997,0.19612,1.14048,0.01112,0.35464,0.0,0.0,0.0
41,0.0,0.37826,0.01663,0.16636,0.26088,0.02264,6.27424,0.95794,0.33512,1.11162,0.17227,0.0,0.14502,0.00243,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.32191
43,0.0,0.00454,0.0,0.6028,1.20738,0.03541,2.97071,2.0963,0.0,0.87421,0.82604,0.0,1.98145,0.01113,0.0,0.0
44,0.0,0.01539,0.14612,0.0,0.0,0.01694,1.74231,0.18498,0.0,0.00076,0.45735,0.0,0.0,0.00016,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0417
46,0.00177,0.64761,0.00094,0.0,0.42007,0.0,6.74958,6.74958,0.0,0.0,0.02571,0.0,1.7533,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.88272
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.59209
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.54681
50,0.00049,0.24889,0.00728,0.0,0.33462,0.11285,2.25633,0.85726,0.34005,0.0272,0.73102,0.0,2.00509,0.0,0.0,0.0
51,0.0,0.23355,0.0256,0.0,0.17247,0.23886,12.11138,3.95928,3.67883,1.24794,1.9487,0.002,0.38427,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.56118
53,0.0,0.18733,0.0527,0.0,0.12412,0.15351,3.94999,1.52717,0.93515,0.3764,2.62971,0.00861,0.7162,0.0,0.0,0.0
54,0.00013,0.39278,0.05177,0.51591,0.0,0.34612,3.0529,0.59056,1.99265,0.0,0.15718,0.0,0.25591,0.0143,0.0,0.0
55,0.00106,0.23629,0.40794,0.0,0.15102,0.08558,0.3013,0.09818,0.0608,0.0,0.17232,0.0,1.10591,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.15344
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7790800000000004
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.34345
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.70658
62,0.0,0.0,0.05715,0.0,0.11067,0.09564,0.31913,0.05128,0.0,0.06492,1.31337,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.09722,0.00465,0.15445,0.87191,0.37516,0.14108,0.14257,0.07173,0.92811,0.05537,0.22411,0.00389,0.0,0.0
64,0.0,0.11325,0.04718,0.0,1.27755,0.53283,9.55316,5.34576,1.97411,0.87362,1.21745,0.01259,0.00341,0.0876,0.0,0.0
65,0.00018,0.0,0.0062,0.0,0.0,0.00395,0.03503,0.03503,0.0,0.0,0.00546,0.0,0.04955,0.0,0.0,0.0
66,0.0,0.01235,0.04774,0.00889,0.40147,0.03188,8.59574,0.00154,0.0,2.81191,0.17246,0.00082,0.31815,0.0,0.0,0.0
67,0.0,0.0,1.09267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.77347
69,0.0,0.87324,0.0,0.0,0.09428,0.04063,1.22448,0.24419,0.07361,0.20079,0.27687,0.0,1.42179,0.00502,0.0,0.0
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.53974
71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0.0,0.0,0.03368,0.0,1.63027,0.0,1.79423,1.79423,0.0,0.0,0.38026,0.0,0.0,0.00045,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.93773
