,Agathobaculum_butyriciproducens|t__SGB14993_group,Bacteroides_ovatus|t__SGB1871,Bacteroides_uniformis|t__SGB1836_group,Blautia_faecis,Blautia_massiliensis,Blautia_obeum|t__SGB4811_group,Blautia_wexlerae,Clostridiaceae_bacterium|t__SGB4269,Clostridium_fessum|t__SGB4705,Coprococcus_catus,Dorea_longicatena,Enterocloster_bolteae|t__SGB4758_group,Escherichia_coli|t__SGB10068,GGB9581_SGB14999|t__SGB14999,Parabacteroides_merdae|t__SGB1949
96,0.03718,0.12058,4.37719,0.03512,0.04515,0.10974,0.21221,0.07693,0.45211,0.02832,0.11369,0.0,1.90024,0.01427,0.46492
97,0.0062,0.3602,0.60525,0.31791,0.0,2.58941,0.87968,0.31817,0.13069,0.01348,1.5445,0.0,0.0,0.0,1.23218
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,0.03593,0.11351,7.55254,0.04824,0.0132,0.11515,0.216,1.01334,0.52596,0.06131,0.26592,0.04443,0.14853,0.04761,0.0
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,0.04333,2.27636,0.0,0.192,0.00177,0.31403,2.29566,0.58587,0.12981,0.01658,0.56369,0.0,0.0,0.00327,0.0
102,2.63277,2.22537,1.88518,0.11589,0.02374,0.05473,0.2984,0.91555,0.92925,0.0,0.34428,0.25682,0.68558,0.02461,0.07049
103,0.00521,5.0775,0.0,0.03174,0.01359,0.19538,1.95186,0.28644,0.1424,0.0,0.17938,0.0,0.0,0.0,0.0
104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,0.011343759271447436,0.9512755908545291,1.484960717122402,0.07093679076601511,0.006420299509682823,0.14387747096555786,0.35844299605455476,0.05037758665648688,0.07352115511481568,0.02696710986845918,1.286558401288739,0.03748486680892609,0.7192587142762646,0.055979988337981,1.232700818306598
106,0.03524788343317592,0.5285625106238515,1.6920090982206286,0.03130268554335387,0.016274968965250096,0.02176488813697048,0.15374448139631597,0.30764854509096695,0.05706096301822576,0.005836624519689221,0.09243685978607472,0.0029299616058006115,0.5149770904026005,0.00855295170349313,0.3600758170522071
107,0.8108822755731271,0.44407704412812576,4.936410740582326,0.15278162304075935,0.06880067352937173,0.11543012563045224,0.7598959022753933,0.3319185787810923,0.18848394162087034,0.01634552978222859,1.0659449954299849,0.0025516013680858623,0.3372533703558768,0.011289335952191762,0.0
108,0.009579620302283477,2.0282472973381074,5.10810254523787,0.34387121001357807,0.002555856325044622,0.031133765982421298,1.591293587931903,0.09269180022105002,0.22349690280348383,0.0682024279247121,1.175032338902851,0.011624868126866514,1.661654900558918,0.06079986940320064,0.09341177129307543
109,0.043196209153794005,0.05174305212783568,9.432289753523976,0.2271359475465566,0.1381091344496861,0.16208379625624042,0.23114807553337308,0.061251965709378915,0.15121349171606294,0.030156501916307258,0.1859865594100898,0.054336553406790083,0.21696080778377538,0.011709932304273685,0.3249627941717641
110,0.08633162258802468,0.7689924147983898,9.479132988387342,0.09637591258199929,0.02305792353541839,0.13331460022008568,0.30052349327999456,0.8349744122863947,0.7153955966019403,0.0840644004899604,0.22002199730125277,0.048875239631453474,0.10992674951697128,0.03940896378187133,0.4242882537786494
111,0.8978290699666674,0.17839199076766965,4.455902168778101,0.19302112934433557,0.07503728908580921,0.15826883210250114,0.8471274807182647,0.35474303347844593,0.16187218572394643,0.05253603808875207,0.8916156880378725,0.0,0.41004726267690017,0.0,0.016306882081400215
112,0.15207200918742791,0.31996534309403835,3.977101532591085,0.10844573950424827,0.10818568302239338,0.25684575637276785,0.4935606548383497,0.01424900188652075,0.379644115706365,0.11834408461261518,0.4188831121716599,0.0059693737543203085,0.29878508677635407,0.0661544545406106,0.5158908152883789
113,0.02371915240674207,0.9761169807785637,0.34758107766339164,0.018861008541655136,0.01387111759889122,0.03398589858974385,0.03686931147045813,0.06401077168666935,0.15884314852693102,0.004182955840300449,0.0702150130388044,0.0005398947099328061,0.33601058982927834,0.03753948004852387,0.9316888334279132
114,0.03821775410587932,0.7527732137462608,5.994719902987315,0.12929289767250207,0.05118629758849875,0.051902392454530905,0.2499320793464444,0.15517455583774356,0.2468217559137384,0.007512663150911647,0.10511445086377387,0.04747824069915248,0.27379521740344165,0.00848536028878037,0.24251738904811082
115,0.13908434893749988,1.9063767795821465,0.48181016627437084,0.040736100488519514,0.11514466628606898,0.01371938038975214,0.40293700598444954,0.26382042544993645,0.8215137085526656,0.012012868071989837,0.1256218230118055,0.03229533873580469,0.3322178688829986,0.001315054295049804,0.1362291478110207
116,0.29756558126249394,1.8306728965185928,0.7428746645231677,0.0006526439500930996,0.15727377815275506,4.1408548587544e-05,0.6191423084136157,0.18847840538076605,1.4756906598152773,7.977858593060951e-05,0.17433678838926112,0.03239302085142988,0.33275281026674963,0.00019962312245701673,0.15460894943154224
117,0.23403812599443422,2.415386258146,14.254016683277328,0.21876849414554228,0.0493816232795459,0.17943327968460235,0.5196696174538348,0.3717921210805936,1.1835124657003884,0.14029818367661073,0.12040391947241902,0.05902656827899766,0.018509596894124243,0.01769233948249996,1.491011896277541
